geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
CH04,202026,0,127,NA,NA,1539275,0,8.25,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-26,0,0,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH05,202026,0,119,NA,NA,1183813,0,10.05,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-26,0,0,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH06,202026,0,61,NA,NA,818962,0,7.45,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-26,0,0,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH07,202026,0,313,NA,NA,351491,0,89.05,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-26,0,0,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH01,202027,0,727,NA,NA,1654751,0,43.93,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-27,-1,-0.06,-100,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH02,202027,0,251,NA,NA,1886584,0,13.3,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-27,0,0,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH03,202027,0,133,NA,NA,1171157,0,11.36,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-27,0,0,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH04,202027,1,128,1,100,1539275,0.06,8.32,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-27,1,0.06,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH05,202027,1,120,1,100,1183813,0.08,10.14,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-27,1,0.08,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH06,202027,0,61,NA,NA,818962,0,7.45,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-27,0,0,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH07,202027,0,313,NA,NA,351491,0,89.05,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-27,0,0,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
